p,min1,max1,min2,max2,min3,max3,name1,name2,name3
0.010218978,14,45,8,8,8,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,45,24,24,8,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,45,12,23,8,9,TrafficSpeed Low,Weather Data winddir,AQI Data CO
0.010218978,14,46,8,93,9,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,46,8,66,9,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,46,93,93,9,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,46,24,66,9,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,46,66,66,9,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,46,43,43,9,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,46,8,8,9,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,46,24,24,9,9,TrafficSpeed Low,Weather Data windspeed,AQI Data CO
0.010218978,14,46,12,23,9,9,TrafficSpeed Low,Weather Data winddir,AQI Data CO
0.010218978,39,46,28,43,13,14,TrafficSpeed Car,Weather Data temperature,AQI Data CO
0.010218978,39,46,28,42,13,14,TrafficSpeed Car,Weather Data temperature,AQI Data CO
0.010218978,39,46,28,39,13,14,TrafficSpeed Car,Weather Data temperature,AQI Data CO
0.010218978,39,46,13,72,13,14,TrafficSpeed Car,Weather Data humidity,AQI Data CO
0.010218978,39,46,15,70,13,14,TrafficSpeed Car,Weather Data humidity,AQI Data CO
0.010218978,39,46,15,69,13,14,TrafficSpeed Car,Weather Data humidity,AQI Data CO
0.010218978,39,46,8,93,13,14,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,39,46,8,66,13,14,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,39,46,93,93,13,14,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,39,46,24,66,13,14,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,39,46,66,66,13,14,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,39,46,43,43,13,14,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,39,46,8,8,13,14,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,39,46,24,24,13,14,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,39,46,12,23,13,14,TrafficSpeed Car,Weather Data winddir,AQI Data CO
0.010218978,40,43,28,43,13,14,TrafficSpeed Car,Weather Data temperature,AQI Data CO
0.010218978,40,43,13,72,13,14,TrafficSpeed Car,Weather Data humidity,AQI Data CO
0.010218978,40,43,28,42,13,15,TrafficSpeed Car,Weather Data temperature,AQI Data CO
0.010218978,40,43,28,39,13,15,TrafficSpeed Car,Weather Data temperature,AQI Data CO
0.010218978,40,43,15,70,13,15,TrafficSpeed Car,Weather Data humidity,AQI Data CO
0.010218978,40,43,15,69,13,15,TrafficSpeed Car,Weather Data humidity,AQI Data CO
0.010218978,40,43,8,93,13,15,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,40,43,8,66,13,15,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,40,43,93,93,13,15,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,40,43,24,66,13,15,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,40,43,66,66,13,15,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,40,43,43,43,13,15,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,40,43,8,8,13,15,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,40,43,24,24,13,15,TrafficSpeed Car,Weather Data windspeed,AQI Data CO
0.010218978,40,43,12,23,13,15,TrafficSpeed Car,Weather Data winddir,AQI Data CO
0.010218978,11,12,13,13,17,17,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010218978,11,12,12,13,17,17,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010218978,11,12,12,23,17,17,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010218978,6,14,24,66,24,24,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,6,14,66,66,24,24,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,6,14,43,43,24,24,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,6,14,8,8,24,24,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,6,14,24,24,24,24,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,7,14,24,66,24,25,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,7,14,8,66,24,25,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,7,14,66,66,24,25,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,7,14,8,43,24,25,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,7,14,66,66,24,25,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,7,14,24,43,24,25,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,7,14,43,43,24,25,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,7,14,8,8,24,25,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,7,14,24,24,24,25,TrafficSpeed High,Weather Data windspeed,AQI Data CO
0.010218978,15,43,12,23,39,39,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010218978,25,43,12,23,41,41,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010218978,15,33,12,23,43,43,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010218978,15,33,20,43,57,57,TrafficSpeed Car,Weather Data temperature,AQI Data NO2
0.010218978,15,33,12,23,57,57,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010218978,15,47,12,23,75,75,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010218978,15,46,12,23,77,77,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010218978,16,49,12,23,81,81,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010218978,17,37,12,23,93,93,TrafficSpeed Car,Weather Data winddir,AQI Data NO2
0.010218978,25,42,12,23,95,95,TrafficSpeed Middle,Weather Data winddir,AQI Data NO2
0.010218978,16,44,20,21,99,99,TrafficSpeed Car,Weather Data temperature,AQI Data PM10
0.010218978,20,42,12,23,101,101,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010218978,21,42,12,23,103,103,TrafficSpeed Low,Weather Data winddir,AQI Data NO2
0.010218978,5,14,12,23,109,109,TrafficSpeed High,Weather Data winddir,AQI Data NO2
0.010199426,33,40,24,43,277,277,TrafficSpeed Middle,Weather Data windspeed,AQI Data PM10
0.010199426,33,40,43,43,277,277,TrafficSpeed Middle,Weather Data windspeed,AQI Data PM10
0.010199426,11,12,24,43,287,287,TrafficSpeed High,Weather Data windspeed,AQI Data PM10
0.010199426,11,12,43,43,287,287,TrafficSpeed High,Weather Data windspeed,AQI Data PM10
0.010199426,37,40,43,43,305,305,TrafficSpeed Middle,Weather Data windspeed,AQI Data PM10
0.010199426,39,39,43,43,307,307,TrafficSpeed Middle,Weather Data windspeed,AQI Data PM10
0.010177268,28,28,12,23,0.4,0.4,TrafficSpeed Car,Weather Data winddir,AQI Data SO2
0.010177268,15,49,12,23,1,1,TrafficSpeed Car,Weather Data winddir,AQI Data SO2
0.010177268,4,15,25,44,1,1,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010177268,4,15,8,75,1,1,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,5,15,25,44,1,1,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010177268,5,15,8,75,1,1,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,16,39,12,23,1,1.1,TrafficSpeed Car,Weather Data winddir,AQI Data SO2
0.010177268,4,15,24,44,1.3,1.3,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010177268,4,15,8,76,1.3,1.3,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,4,16,24,44,1.3,1.3,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010177268,4,16,8,76,1.3,1.3,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,5,15,24,44,1.3,1.3,TrafficSpeed High,Weather Data temperature,AQI Data SO2
0.010177268,5,15,8,76,1.3,1.3,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,15,43,9,9,1.3,1.4,TrafficSpeed Low,Weather Data humidity,AQI Data SO2
0.010177268,15,43,11,11,1.3,1.4,TrafficSpeed Low,Weather Data humidity,AQI Data SO2
0.010177268,4,15,9,9,1.3,1.4,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,4,15,11,11,1.3,1.4,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,4,16,9,9,1.3,1.4,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,4,16,11,11,1.3,1.4,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,5,15,9,9,1.3,1.4,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,5,15,11,11,1.3,1.4,TrafficSpeed High,Weather Data humidity,AQI Data SO2
0.010177268,15,43,13,72,1.3,1.6,TrafficSpeed Low,Weather Data humidity,AQI Data SO2
0.010177268,15,43,12,23,1.3,1.6,TrafficSpeed Low,Weather Data winddir,AQI Data SO2
0.010177268,15,47,12,23,1.6,1.6,TrafficSpeed Low,Weather Data winddir,AQI Data SO2
0.010177268,4,15,20,44,1.6,1.6,TrafficSpeed High,Weather Data temperature,AQI Data SO2
