p,min1,max1,min2,max2,name1,name2
0.010199426,99,99,13,75,AQI Data PM10,Weather Data humidity
0.010134254,101,101,13,75,AQI Data PM10,Weather Data humidity
0.010036496,103,103,13,75,AQI Data PM10,Weather Data humidity
0.010069082,105,105,13,75,AQI Data PM10,Weather Data humidity
0.010394943,109,109,13,76,AQI Data PM10,Weather Data humidity
0.010134254,107,111,13,75,AQI Data PM10,Weather Data humidity
0.010134254,111,111,13,76,AQI Data PM10,Weather Data humidity
0.01016684,113,113,13,75,AQI Data PM10,Weather Data humidity
0.010069082,115,115,13,76,AQI Data PM10,Weather Data humidity
0.01000391,105,119,14,75,AQI Data PM10,Weather Data humidity
0.010069082,115,119,13,75,AQI Data PM10,Weather Data humidity
0.010069082,119,119,12,75,AQI Data PM10,Weather Data humidity
0.010036496,121,121,12,75,AQI Data PM10,Weather Data humidity
0.010297185,123,123,13,75,AQI Data PM10,Weather Data humidity
0.010069082,125,125,12,75,AQI Data PM10,Weather Data humidity
0.010199426,127,127,13,76,AQI Data PM10,Weather Data humidity
0.010069082,125,129,13,75,AQI Data PM10,Weather Data humidity
0.010101668,131,131,13,75,AQI Data PM10,Weather Data humidity
0.010134254,133,133,13,75,AQI Data PM10,Weather Data humidity
0.01000391,137,137,13,75,AQI Data PM10,Weather Data humidity
0.010069082,139,139,12,75,AQI Data PM10,Weather Data humidity
0.010134254,141,141,12,75,AQI Data PM10,Weather Data humidity
0.010069082,143,143,13,75,AQI Data PM10,Weather Data humidity
0.010069082,145,147,13,75,AQI Data PM10,Weather Data humidity
0.010069082,147,147,12,75,AQI Data PM10,Weather Data humidity
0.010199426,149,149,12,75,AQI Data PM10,Weather Data humidity
0.01000391,149,151,12,74,AQI Data PM10,Weather Data humidity
0.01016684,151,151,12,75,AQI Data PM10,Weather Data humidity
0.01000391,153,153,12,75,AQI Data PM10,Weather Data humidity
0.01016684,155,155,12,75,AQI Data PM10,Weather Data humidity
0.01000391,153,157,13,75,AQI Data PM10,Weather Data humidity
0.01000391,99,159,14,74,AQI Data PM10,Weather Data humidity
0.01000391,115,159,13,74,AQI Data PM10,Weather Data humidity
0.01000391,119,159,13,74,AQI Data PM10,Weather Data humidity
0.010199426,159,159,13,75,AQI Data PM10,Weather Data humidity
0.01000391,115,161,13,13,AQI Data PM10,Weather Data humidity
0.01000391,119,161,13,13,AQI Data PM10,Weather Data humidity
0.010036496,159,161,13,13,AQI Data PM10,Weather Data humidity
0.010199426,161,161,13,75,AQI Data PM10,Weather Data humidity
0.01000391,163,163,13,16,AQI Data PM10,Weather Data humidity
0.01000391,99,165,16,16,AQI Data PM10,Weather Data humidity
0.01000391,115,165,16,16,AQI Data PM10,Weather Data humidity
0.01000391,119,165,16,16,AQI Data PM10,Weather Data humidity
0.01000391,159,165,16,16,AQI Data PM10,Weather Data humidity
0.010036496,159,169,18,75,AQI Data PM10,Weather Data humidity
0.010036496,159,171,18,74,AQI Data PM10,Weather Data humidity
0.01016684,173,173,18,73,AQI Data PM10,Weather Data humidity
0.01000391,175,175,15,73,AQI Data PM10,Weather Data humidity
0.010199426,177,177,16,73,AQI Data PM10,Weather Data humidity
0.010134254,177,179,16,16,AQI Data PM10,Weather Data humidity
0.01016684,179,179,18,73,AQI Data PM10,Weather Data humidity
0.01000391,159,181,18,72,AQI Data PM10,Weather Data humidity
0.01000391,159,183,18,71,AQI Data PM10,Weather Data humidity
0.010036496,183,183,18,72,AQI Data PM10,Weather Data humidity
0.01000391,159,185,18,70,AQI Data PM10,Weather Data humidity
0.010036496,183,185,18,70,AQI Data PM10,Weather Data humidity
0.01016684,185,185,18,72,AQI Data PM10,Weather Data humidity
0.010101668,187,187,18,70,AQI Data PM10,Weather Data humidity
0.01016684,189,189,18,70,AQI Data PM10,Weather Data humidity
0.01000391,159,191,18,69,AQI Data PM10,Weather Data humidity
0.010036496,183,191,18,69,AQI Data PM10,Weather Data humidity
0.010036496,185,191,18,69,AQI Data PM10,Weather Data humidity
0.010036496,191,191,16,70,AQI Data PM10,Weather Data humidity
0.010134254,193,193,18,69,AQI Data PM10,Weather Data humidity
0.01000391,159,197,18,68,AQI Data PM10,Weather Data humidity
0.01000391,183,197,18,68,AQI Data PM10,Weather Data humidity
0.01000391,185,197,18,68,AQI Data PM10,Weather Data humidity
0.01000391,191,197,18,68,AQI Data PM10,Weather Data humidity
